date,temp
1869-01-01,-17
1869-01-02,-28
1869-01-03,17
1869-01-04,28
1869-01-05,61
1869-01-06,33
1869-01-07,89
1869-01-08,122
1869-01-09,89
1869-01-10,67
1869-01-11,6
1869-01-12,28
1869-01-13,33
1869-01-14,56
1869-01-15,56
1869-01-16,33
1869-01-17,17
1869-01-18,-17
1869-01-19,11
1869-01-20,28
1869-01-21,56
1869-01-22,-17
1869-01-23,39
1869-01-24,89
1869-01-25,33
1869-01-26,-6
1869-01-27,44
1869-01-28,83
1869-01-29,89
1869-01-30,122
1869-01-31,50
1869-02-01,6
1869-02-02,11
1869-02-03,22
1869-02-04,33
1869-02-05,-33
1869-02-06,44
1869-02-07,22
1869-02-08,44
1869-02-09,33
1869-02-10,39
1869-02-11,78
1869-02-12,89
1869-02-13,161
1869-02-14,56
1869-02-15,61
1869-02-16,67
1869-02-17,78
1869-02-18,50
1869-02-19,56
1869-02-20,39
1869-02-21,44
1869-02-22,100
1869-02-23,67
1869-02-24,33
1869-02-25,33
1869-02-26,11
1869-02-27,-6
1869-02-28,-39
1869-03-01,-33
1869-03-02,22
1869-03-03,61
1869-03-04,67
1869-03-05,17
1869-03-06,22
1869-03-07,-33
1869-03-08,33
1869-03-09,78
1869-03-10,83
1869-03-11,28
1869-03-12,33
1869-03-13,111
1869-03-14,89
1869-03-15,11
1869-03-16,39
1869-03-17,56
1869-03-18,22
1869-03-19,56
1869-03-20,89
1869-03-21,0
1869-03-22,17
1869-03-23,44
1869-03-24,100
1869-03-25,78
1869-03-26,83
1869-03-27,156
1869-03-28,128
1869-03-29,44
1869-03-30,117
1869-03-31,78
1869-04-01,89
1869-04-02,61
1869-04-03,50
1869-04-04,33
1869-04-05,100
1869-04-06,117
1869-04-07,67
1869-04-08,111
1869-04-09,83
1869-04-10,83
1869-04-11,44
1869-04-12,89
1869-04-13,72
1869-04-14,78
1869-04-15,122
1869-04-16,194
1869-04-17,139
1869-04-18,217
1869-04-19,244
1869-04-20,200
1869-04-21,156
1869-04-22,139
1869-04-23,161
1869-04-24,228
1869-04-25,139
1869-04-26,217
1869-04-27,217
1869-04-28,206
1869-04-29,144
1869-04-30,128
1869-05-01,78
1869-05-02,137
1869-05-03,128
1869-05-04,174
1869-05-05,167
1869-05-06,170
1869-05-07,155
1869-05-08,176
1869-05-09,183
1869-05-10,189
1869-05-11,239
1869-05-12,267
1869-05-13,172
1869-05-14,217
1869-05-15,206
1869-05-16,167
1869-05-17,161
1869-05-18,167
1869-05-19,128
1869-05-20,172
1869-05-21,161
1869-05-22,150
1869-05-23,183
1869-05-24,233
1869-05-25,267
1869-05-26,289
1869-05-27,183
1869-05-28,144
1869-05-29,233
1869-05-30,194
1869-05-31,267
1869-06-01,261
1869-06-02,211
1869-06-03,283
1869-06-04,228
1869-06-05,278
1869-06-06,183
1869-06-07,183
1869-06-08,139
1869-06-09,178
1869-06-10,144
1869-06-11,200
1869-06-12,206
1869-06-13,233
1869-06-14,244
1869-06-15,206
1869-06-16,200
1869-06-17,233
1869-06-18,256
1869-06-19,278
1869-06-20,256
1869-06-21,278
1869-06-22,172
1869-06-23,222
1869-06-24,250
1869-06-25,261
1869-06-26,267
1869-06-27,272
1869-06-28,306
1869-06-29,278
1869-06-30,256
1869-07-01,211
1869-07-02,244
1869-07-03,289
1869-07-04,283
1869-07-05,228
1869-07-06,233
1869-07-07,239
1869-07-08,267
1869-07-09,222
1869-07-10,278
1869-07-11,311
1869-07-12,244
1869-07-13,267
1869-07-14,189
1869-07-15,278
1869-07-16,333
1869-07-17,289
1869-07-18,244
1869-07-19,222
