subject,age,gender,group,score_before,score_after
1,22,Female,Control,72.60292309748951,76.62192090383499
2,48,Male,Control,62.157334967793986,65.28879885490427
3,54,Male,Control,50.098954408163934,49.45368356
4,58,Male,Control,72.29502749990978,74.93619140062587
5,37,Female,Treatment,71.92547710548067,79.72311230014212
6,39,Female,Control,64.23219157051318,66.89841387767451
7,42,Female,Control,64.46231639870996,67.35974669897918
8,53,Male,Control,60.291014464407226,60.75240558
9,52,Male,Treatment,69.22493324,73.70929340871014
10,29,Male,Treatment,73.28373305692975,79.53645839147805
11,52,Male,Control,66.26826794159541,72.54299515058818
12,52,Female,Treatment,62.83472446142577,66.88991551357127
13,45,Male,Control,79.7339883,85.69747023967975
14,39,Female,Treatment,69.2509323,72.79425111091084
15,34,Female,Control,70.62741051946077,78.30312857705655
16,56,Male,Control,65.92487288,70.35753016740499
17,52,Female,Control,60.118036165475964,64.5578169
18,36,Male,Control,58.10910113815146,63.149335705782505
19,24,Male,Control,71.48570381904814,72.21593478331937
20,23,Female,Treatment,68.73149134779945,71.31899717
21,22,Male,Treatment,62.97120604224144,66.12479572502458
22,40,Male,Control,59.28015902748948,64.20232398078976
23,59,Male,Treatment,71.51409677348084,74.57363556473301
24,22,Female,Treatment,73.79974315964543,80.75042551393088
25,40,Male,Control,58.33614643583746,62.74373349869497
26,27,Male,Control,68.80899340008563,74.17367657079065
27,55,Male,Treatment,62.49458852525702,68.91853527674232
28,48,Male,Treatment,75.94621260968107,79.5924905
29,58,Male,Control,79.36287773899123,86.75424957711965
30,53,Female,Treatment,73.33946866468015,74.85404329161499
31,41,Female,Control,66.76954638242447,73.04163063
32,50,Male,Treatment,55.72430282,60.31961760827265
33,47,Male,Control,68.07782579096406,71.46507417
34,54,Female,Control,69.66301912457568,70.88395550945013
35,53,Female,Control,62.99190005420704,67.67957667926808
36,32,Female,Treatment,59.20314836,64.35684974414818
37,23,Female,Control,59.97853938,67.13210004
38,25,Female,Treatment,57.69627424099493,63.26311086439419
39,20,Female,Treatment,64.63885647980088,67.43305282476935
40,31,Male,Treatment,61.00819003035188,61.66460919834842
41,54,Male,Control,66.72977031,71.82660461824635
42,30,Female,Treatment,54.73733667274523,58.29608267326425
43,42,Male,Treatment,66.13695000118825,71.16652719202102
44,33,Female,Treatment,65.67624035947426,70.32004281611276
45,38,Female,Control,69.52212484663217,73.55589272863695
46,56,Male,Control,62.851641109670105,64.32082519843063
47,35,Female,Treatment,66.34903543,69.40763023534943
48,47,Male,Control,57.522732958606156,61.963843302904905
49,50,Female,Treatment,71.60470506025577,74.46569655221757
50,26,Male,Control,62.972822967481804,67.99937012957118
51,46,Male,Control,64.79692542,71.04420414614859
52,36,Female,Control,63.219635924309365,64.78634308
53,26,Female,Treatment,72.71202560078126,77.47481232280508
54,34,Female,Treatment,58.15109111879825,60.291604966233905
55,59,Male,Control,71.35483454227057,77.19581070886302
56,31,Male,Treatment,67.51026681962902,69.88320203996389
57,27,Female,Treatment,61.59157287760102,67.57186602772835
58,21,Female,Control,58.59052190149121,62.24177461138166
59,57,Female,Control,57.94574563290667,57.16881706348986
60,45,Male,Treatment,65.28704790569832,73.35280961205498
61,40,Male,Treatment,59.875020298363545,65.42424733163078
62,32,Female,Control,57.17191536384691,61.950444241108805
63,38,Female,Control,61.29189842074752,66.73753258
64,37,Female,Treatment,69.17345437195642,73.17507884777373
65,21,Female,Treatment,71.59597702812515,75.91010461360216
66,47,Female,Control,67.16243562853006,71.95712477629172
67,42,Male,Control,66.43353104074667,69.58296971361389
68,23,Female,Treatment,71.16666257684611,77.60888843452507
69,23,Male,Control,71.81933787846201,78.45977124532205
70,31,Male,Control,73.21185359044162,77.08026706090129
71,41,Male,Treatment,67.2792088,72.20358549355775
72,45,Female,Control,50.98464178915681,53.65359277443001
73,59,Male,Treatment,62.16449619060971,68.36645174887147
74,54,Female,Control,65.17011447235261,65.03750519418075
75,23,Female,Control,65.85039491758421,67.84853956984422
76,31,Female,Treatment,64.90054243159662,67.58904112542011
77,23,Male,Treatment,71.11377592121585,74.52700796397343
78,50,Male,Control,61.97133478815178,69.87766249103787
79,26,Male,Control,54.02608896644526,55.29067663
80,29,Female,Control,69.16079821989126,73.43738088277499
81,43,Male,Control,68.59881322196628,74.19002404
82,34,Female,Treatment,54.200167371989195,56.84501500123207
83,58,Female,Control,69.87227366289802,75.47091885075787
84,39,Male,Treatment,70.57758839198065,73.49708769333121
85,26,Female,Control,70.42371828186484,74.81057610259612
86,32,Male,Control,75.06731796239947,75.30253164535988
87,47,Male,Treatment,60.59721123716112,63.276519996265336
88,58,Male,Treatment,52.79272722,55.32719029732746
89,37,Male,Treatment,65.73392576980702,73.71207327178723
90,30,Male,Treatment,68.20627192537981,78.89491435032411
91,55,Male,Treatment,72.15743699995981,75.58325285694401
92,55,Female,Control,65.65525925521288,70.39545899854784
93,21,Female,Treatment,66.68218870382206,64.74836003108561
94,36,Male,Control,76.39705534175268,77.77543001219411
95,25,Female,Control,72.15150182911535,73.31941096617594
96,42,Female,Control,64.01533276054552,69.01524053665635
97,35,Female,Treatment,60.58251687798833,62.87345520769324
98,45,Female,Treatment,60.15851552,66.23638296903135
99,20,Female,Control,72.04914004936333,77.50010728831158
100,55,Male,Treatment,61.32040839144577,64.37919380613036
101,49,Male,Treatment,68.68504837,71.05506872252604
102,21,Female,Control,63.36706230567759,66.94682051028717
103,39,Male,Treatment,73.29225751665717,81.26129206909387
104,24,Male,Treatment,61.53392270706547,64.29244247674475
105,50,Female,Control,76.22866449543596,75.96418172
106,27,Female,Treatment,54.75208326689077,58.56526790787793
107,49,Male,Control,59.75919574001686,64.11071996
108,58,Male,Control,63.185531546932296,67.67809749565029
109,21,Female,Treatment,62.894310673353964,65.16425711
110,32,Female,Control,73.94120171121179,77.85144262575771
111,23,Female,Control,74.76222942020956,77.71017669096031
112,27,Female,Control,58.19456845484782,65.98000604287833
113,58,Female,Treatment,60.33558008981722,63.28516536622927
114,44,Male,Treatment,52.78943505339096,56.09927994533195
115,26,Male,Control,69.75036716535166,76.05107385611834
116,33,Male,Control,68.83539757157405,70.28284480971439
117,48,Female,Treatment,63.79228520706594,68.48325921158934
118,40,Female,Treatment,69.19302986583756,73.10471047345584
119,56,Female,Treatment,68.65652708572739,70.87861171332199
120,52,Female,Treatment,55.05306860632139,56.69598586626912
121,44,Female,Treatment,77.02260450843873,82.67776202060594
122,33,Female,Treatment,71.44891049515432,77.19018473175095
123,28,Female,Treatment,58.213658784291916,62.832271288707716
124,34,Male,Treatment,75.21536409538666,76.17457091852961
125,26,Male,Control,70.49323477288267,75.48224345585652
126,21,Male,Control,63.47005862575373,65.96525972
127,50,Female,Treatment,59.10125409273898,64.57763177429052
128,26,Female,Treatment,70.95223021,75.20651258618484
129,30,Female,Treatment,64.52295027590817,69.68320523361196
130,32,Female,Treatment,69.09628784511533,75.36480880307784
131,32,Male,Treatment,59.94953166329352,65.26129539
132,45,Male,Control,69.67285000412248,73.34895144161106
133,27,Male,Treatment,63.24532932938874,71.23302645911363
134,33,Female,Control,70.78121849740133,76.45575790421913
135,21,Female,Treatment,71.87855614195121,76.21640674831994
136,34,Male,Control,65.71328144771478,66.53590719005574
137,43,Female,Treatment,65.99822579,68.33763690946654
138,53,Female,Treatment,71.52386018318742,79.02026014
139,23,Male,Control,72.53373337779904,76.83505255
140,37,Male,Treatment,67.67322142626715,70.38940737
141,44,Female,Control,64.36863295790916,67.89206746733628
142,43,Female,Treatment,54.03531789,59.50659441050516
143,25,Female,Treatment,55.42965250234522,61.71271131314846
144,53,Female,Control,60.29713647785632,63.48214491603227
145,57,Female,Treatment,57.96505262,63.894541140963035
146,22,Male,Treatment,67.40622077413713,72.10405192416181
147,38,Male,Treatment,71.66101539,76.58325034
148,55,Female,Treatment,61.40954592836134,62.73207948354746
149,38,Male,Control,68.07312509029595,74.70024737698445
150,47,Male,Control,71.41835590669314,74.66850192211635
151,29,Male,Treatment,69.82406264648716,68.60288188374467
152,37,Female,Control,66.07476036,68.83343603071498
153,23,Female,Control,59.36129999983283,63.41434066727459
154,31,Female,Control,61.81947455220508,59.30593861796782
155,46,Male,Control,71.75310636449854,80.05517438496686
156,48,Female,Treatment,53.299546416440776,56.85006423233715
157,31,Female,Treatment,55.50772007725198,59.12552924
158,30,Male,Treatment,74.66462625853849,78.04693808608175
159,23,Male,Treatment,63.58060578741272,66.99937781042341
160,43,Male,Control,70.92819327379395,76.33413054
161,45,Male,Treatment,74.72567504608557,77.40853330230472
162,47,Male,Control,73.36726757262514,76.54181447185421
163,23,Male,Treatment,69.54724976082493,72.51947571721536
164,55,Female,Control,65.89727312824584,71.22160168224381
165,34,Male,Treatment,59.18973719181552,61.97227468
166,41,Female,Control,68.57397568424258,73.88563046808086
167,43,Female,Treatment,66.68359361955804,74.72771606150562
168,43,Female,Control,61.09162558134833,66.28646815281942
169,56,Female,Control,55.646370312427024,59.09745300210963
170,24,Male,Treatment,73.87774051156092,76.52948316110385
171,25,Female,Control,64.86661684803143,68.15819808484807
172,29,Female,Control,57.57281883964771,63.34566439876293
173,22,Male,Treatment,64.13461114021688,71.20890410331677
174,57,Female,Control,64.26408896629044,68.26414270543766
175,53,Male,Treatment,65.34407696245847,68.73736291017873
176,25,Male,Treatment,71.54098038011362,74.3789792
177,29,Female,Control,71.95541610218241,77.73510493
178,35,Male,Control,59.26523839748108,63.25990187458227
179,48,Male,Control,60.25729418206706,67.28828365
180,22,Male,Treatment,57.93929444356161,66.05656442
181,30,Male,Control,68.51336933952186,71.37676978837452
182,56,Male,Treatment,60.60261516237723,67.63199276071549
183,23,Female,Control,63.863314517733514,68.72818868989087
184,23,Female,Treatment,71.34571849655485,77.75434509813283
185,43,Male,Treatment,57.859065323749974,59.71533344945539
186,47,Female,Treatment,55.328758683074504,59.74419748367815
187,54,Male,Treatment,62.181637381821105,63.97480857685589
188,57,Female,Control,58.33878264986888,64.61195213
189,43,Female,Treatment,61.116488908918825,63.89991913372923
190,41,Female,Treatment,59.00504685828021,61.95317330281677
191,45,Female,Treatment,68.07284439,68.4038645
192,37,Female,Control,66.73873419737824,70.10031572
193,22,Male,Control,69.57411132688506,75.71242467287817
194,30,Male,Treatment,61.647309195486244,64.96106675656124
195,28,Female,Control,66.52322267697195,74.79893752327233
196,52,Male,Treatment,60.62394064664281,64.42357489896072
197,45,Male,Control,67.64017947347841,75.30051293928777
198,55,Female,Treatment,67.68815708240481,69.61476675
199,23,Male,Control,69.16511597239943,71.87339778728926
200,21,Male,Control,58.505525311992095,62.911216304813934
201,27,Female,Control,75.72985923293803,78.21159590525873
202,26,Female,Treatment,62.91214302414798,68.42086880202035
203,55,Female,Treatment,69.20164776326668,74.11830923514702
204,53,Male,Treatment,49.4067815,54.94551124242136
205,59,Male,Treatment,64.51536028849344,68.89501584102791
206,38,Female,Treatment,69.12354108458864,73.36724406
207,48,Male,Treatment,58.53516842747888,61.20884359032871
208,58,Female,Treatment,61.63211838026517,64.95422743759887
209,25,Male,Treatment,66.33054159344293,72.92968146583681
210,29,Male,Treatment,74.38964447500733,77.47712978389305
211,24,Male,Treatment,67.71183933471696,73.34828615387502
212,43,Female,Control,70.98410648702757,75.57541182976581
213,41,Female,Control,53.688440511121456,59.788222056024594
214,45,Female,Treatment,53.29538195822257,58.82543844443385
215,56,Female,Control,62.64505840558091,68.61083470378877
216,48,Male,Control,70.53247893011002,76.34147322003238
217,55,Female,Treatment,65.37857180123754,70.50812912312543
218,39,Male,Control,70.62971484308873,74.77838960478813
219,37,Female,Control,60.26096292840833,66.33550835506183
220,59,Male,Treatment,59.66747110149328,61.22838171675566
221,34,Male,Treatment,67.93724740969868,70.90339197525391
222,34,Male,Control,71.59672170643316,72.83005899193603
223,43,Female,Treatment,70.43058753454505,74.11602073476658
224,48,Male,Treatment,64.87985843073282,68.11139895395765
225,36,Female,Treatment,65.04429178351494,64.85998265256184
226,44,Female,Treatment,57.56434662525144,60.48240000206221
227,35,Female,Control,67.78580426693456,70.30293060950548
228,36,Male,Treatment,65.98216903704741,67.84097146903771
229,40,Male,Treatment,65.44869245621082,69.61893616374257
230,46,Female,Control,73.73485842865962,78.06597804844205
231,24,Male,Treatment,75.59625212334706,78.43697825863546
232,41,Female,Treatment,71.96673050224999,78.66922925837925
233,52,Male,Treatment,53.11037735073828,59.65459882875648
234,59,Female,Treatment,57.98601066800297,64.64965360100288
235,21,Female,Control,57.68274743935368,65.39729344100328
236,54,Female,Control,72.38340046320386,75.18658005171004
237,38,Female,Control,67.51343966021916,71.40954065240562
238,59,Male,Control,54.67734613460266,54.71216833874831
239,46,Female,Treatment,70.60799799664184,75.95335083
240,59,Male,Treatment,61.793605802695424,65.69342841465355
241,55,Male,Treatment,66.37893102914012,68.60203792
242,58,Male,Control,67.83085706004017,75.98976610931605
243,21,Female,Control,61.67317815744306,68.11396523875301
244,37,Male,Treatment,74.21856795,76.15482636063513
245,42,Female,Control,78.05456945852644,79.68398070005712
246,45,Male,Treatment,69.84645426826597,75.24843167003999
247,30,Female,Treatment,69.71270881876777,72.87790536
248,20,Female,Treatment,76.57529541383327,79.34678739
249,55,Male,Control,63.33275865984407,67.80389519032713
250,39,Male,Control,56.81106632139798,58.78601839373243
251,50,Female,Treatment,70.55940027252852,73.70940862234468
252,27,Male,Control,68.74739374,72.96768363673513
253,59,Male,Control,63.67030368928288,69.21797632529427
254,43,Female,Control,71.31717154520453,76.10926256001227
255,39,Female,Control,50.32372491022945,54.641137290909946
256,34,Female,Control,61.71280455477716,68.98873999564233
257,49,Female,Control,63.89811443732533,66.28609264
258,39,Female,Treatment,62.88613044291319,63.78790549750685
259,57,Male,Control,57.694290647740345,61.48161812710673
260,21,Male,Treatment,61.971473613130904,66.41912458323024
261,25,Female,Control,70.44822487780145,72.00360497002318
262,37,Female,Control,66.58386191,69.80973039
263,55,Female,Control,66.74857971692504,72.4131117
264,33,Male,Treatment,72.90233237546775,78.48969582639013
265,45,Female,Treatment,64.49455517656128,67.21983088682063
266,53,Male,Treatment,75.56731034646462,77.72724294127131
267,49,Female,Treatment,78.35426379969543,83.41726876563442
268,26,Female,Treatment,63.915074200446895,69.74099445985408
269,49,Male,Treatment,67.66812221969458,68.99962105982436
270,37,Male,Control,67.28001058194114,71.24489486
271,41,Male,Control,62.75276656091912,66.49340429
272,36,Male,Treatment,71.95376726386345,74.52651632718172
273,50,Male,Treatment,63.56453368812809,68.05529638996795
274,36,Female,Control,73.80344124648349,77.09784302
275,50,Male,Treatment,66.43734166559823,71.99308271624454
276,32,Male,Treatment,64.69727933447592,69.90661055403865
277,46,Female,Treatment,64.16190670716341,65.53341945
278,39,Male,Control,60.28675207814731,60.956815257408685
279,36,Male,Treatment,65.36664982139108,70.83528880204457
280,48,Male,Control,65.74019935208906,72.2843962
281,58,Male,Treatment,54.64890905412811,60.57613501997876
282,54,Female,Treatment,62.65553947239831,68.21886975571823
283,27,Female,Treatment,62.232996978901944,65.31636702854225
284,57,Female,Control,59.94078567157723,64.5889786
285,34,Female,Control,54.83483750601934,63.760524342242455
286,20,Male,Control,59.997834273921164,64.42146965511579
287,52,Male,Treatment,71.27482596390116,77.68814493278664
288,22,Male,Treatment,71.87495795663538,72.68697749982795
289,58,Female,Treatment,83.23488226652123,87.92532128368998
290,57,Female,Control,62.060824568136326,66.12950406
291,34,Male,Treatment,67.37037781696797,70.65792318268957
292,37,Female,Control,68.47821868460868,74.02356038814729
293,57,Male,Treatment,60.03548598865557,65.53301942595553
294,50,Male,Control,59.95763667110913,63.68234814097851
295,39,Male,Control,49.91890462,54.869384972217325
296,26,Male,Control,64.64074410548443,70.92705920007938
297,56,Female,Control,59.87441063537851,66.20696987684407
298,46,Male,Control,57.66070481552224,60.30875344525358
299,27,Male,Treatment,61.90492361680776,70.89547453696666
300,33,Male,Control,57.03714778201547,62.38455784376856
