Author,Comment
@moonlightuwu5348,How many international fans will always support Jennie?
@rupurahima7231,"The rap, dance, make-up, outfit everything is just perfect"
@kateandreadelapuerta2377,"She is hated,she is loved,she is criticized,she is praised but never not talked about, It will always be JENNIE KIM"
@allernow,"One thing I’ve seen about Jennie is that the moment she’s on stage, she just owns it, it’s her."
@JulieLope,The Coachella is going to be incredible. Jennie's songs are not skippable. Their song is flawless. She does not follow trends; she creates them.
@anubhutisharma5185,"One of the most iconic and best songs of her...Her rap, style, dance is perfect!"
@Ct239Dzafirah,"whoever choreographed this, i want to thank you from the bottom of my heart. all the dancers really look effing cool!"
@AynazJafari-k3r,1:03 wowww the rap is fierrrrr
@BLINK_Rose-0211-챙이,"진짜 이번 홀로서기 활동으로 인해 제니 정말 많이 성장한것같다ㅜㅜ 이젠 진짜 김제니가 하나의 장르라고 말해도 될정도.. 
이런거 김제니 아니면 누가해,, (그리고 라이브 다 들리는거 장난아니네 역시 김제니)"
@KRu-k2o,"The way Jennie delivers this song so strong with full of confident. The vocal, visual, choreo, outfit, rap…on fire!"
@Zennie_Loveday,"Her Ruby Album deserves all the recognition. To OA, to Columbia Records, and everyone who's part of the RUBY ALBUM making deserves a big warm of applause."
@kru44,"""Don't bore us, take you to the chorus"" SLAYED!"
,"This performance is so fire, so much sass and attitude in one song omg"
@leid.8069,"Not a blink but jenny is really the ace,she can sing,dance and rap. No wonder why her solos are always trending."
@IStan11Groups,"'Don't bore us, take us to the chorus'
'Who else got em obsessed like Jennie?'
'Haters they don't like Jennie cause they can never ever be Jennie'
- Iconic lines of the diva known as Jennie Kim"
@Dreamy0423,"하루에도 몇번씩 생각나서 무대 보는데 뭔가 딱 하나 타임라인 찍어서 좋다고 할 수 가 없음 모든 순간이 다 좋아서,,, 제니한테 영원히 감겨."
@琳愛-l1j,"マジでこの曲半端なくイケてる
(語彙力。。。"
@honluynoon,"This performance has me in a chokehold wtf. Her rap is so satisfying. The light, the outfit, the dance, wow this is the best performance i've ever seen!"
@loveskzsvt,our girl is serving masterpiece again ! the stage presence is so coolll
@KRu-k2o,"“It’s fucking hard…AI couldn’t copy” so true! I’m obsessed with the choreography, outfit, facial expressions, rapping…..is Jennie Jennie Jennie"
@irene_186,I swear this girl never gets tired and always delivers the best performance ever!
@KpoppersEveryday,imagine having a comeback so strong that you shut your haters' mouth with just a song and then there are 14 other songs on the album. that's what JENNIE KIM did!
@MCY-b8e,I’m obsessed with the choreography here. Insanely good.
@IsmaelChavez-yu4fe,"0:32 ""Dont bore us, take you to the chorus"" Jennie ate thatttt"
@Nay30n_fan,why does he always do it so well
@SPGaming123,"The dance, vocal and instrumental was just out of this world!"
@11_star_armlink,She literally SLAYED in everytime. Her rap is so satisfying. Her dancing moves is so perfect.
@aelthira,Jennie's performance is stuck in my mind it's like her music takes over every thought. The rap part  the dance moves it's all on repeat in my head the energy omgg....
@Jennie_kim-P,I don't have words for this Jennie's dedication
@moonlight3373,그동안 제니가 했던것중 가장좋다. 앞으로도 이런퍼포먼스 기대함.
@jeanndedragao,"Girl, you are in your natural habitat! The stage is on fire, the choreography is amazing and the song is very addictive. Another good song from the Ruby album! You are amazing, have a great Sunday!"
@croserroblox6981,"The Coachella is going to be fire. Jennie songs are no skip. Their song are flawless.  She doesn't follow trends, she makes them."
@bliss9529,"Just one word, Iconic!"
@randomsophia_xxx8097,"Jennie is a stage monster! Her attitude,, dance, facial expressions and confidence is electrifying! I‘m sure she’ll shake the whole Coachella in a few weeks!"
@BreakerBinge,Me and my wife met Jennie in LA during Covid. She got in line behind us with 3 or 4 of her dancers at a Korean Tea place. She was super sweet and even hugged my pregnant wife and rubbed her belly. She didn't have to do that especially during the height of Covid. Jennie is the best. Thanks again @Jennie. Our boy is 3 years old now and is doing great.
@ritusetia3342,The choreography has now become one of the best therapies you can ever have ..
@nini_star784,"When Jennie said-
'Don't bore us take to the chorus""
It’s just satisfying!!"
@angitasaha6424,"The song, the dance, the voice,the outfit, the Aura, the attitude everything is next level ( villain of kapop for a reason) ""MISS JENNIE KIM"""
@janinezamora4189,The dance the outfit the aura the stage presence is art Jennie the woman you are
@hihorsie0,"JENNIE'S STAGE PRESENCE   Is always top notch!!!
Can't stop watching this performance ahhh Jennie you are such a Queen!!"
@thereadingruffolos447,I feel like this song is a straight slap to haters.
@SanjayKrishnan-p3u,"""Yes haters hate Jennie because they can never ever be Jennie"" It's true Jennie you are outstanding and you was Queen"
@IStan11Groups,"Jennie is casually slapping back at haters with one of the best albums of this year, and I'm here for it."
@الفتاة_المفجوعة_من_الدراسة,the rap?? the dance?? the outfit?? the visual?? omgg shes ate!!
@Rubies_Lilies01,"The rap , dance, outfit everyrhing is just perfect KİM JENNİE"
@SimranGrewal-wn3hz,Truly the villain of kpop. Girl you slayed it
@VibeyMusic1,"Jennie absolutely owns the stage! Her confidence, charisma, and energy are on another level. The Queen of K-pop never disappoints!  This performance was pure perfection."
@kru44,"Jennie own this stage.  Her aura, dance, rap, vocals, outfit....her stage presence is no joke.  No one does it like Jennie!"
@sugarly.,dude im not even a blink but this is bangingly hard crazyy
@bhawanashukla9901,Girl is literally the definitely of self obsession and women empowerment.
@user_sdkjfskjddcuc,그저..갓제니
@JulieLope,"Jennie won the entire package, including rap, dance, vocal, visual, expression, swag, savage, hot, cool, style, fashion, and performance.  She is the entire group herself."
@ChristyBatulat,"Wow, it has only been two weeks and it already has 22M views. We are OBSESSED WITH JENNIE"
@Lilie_nini1,"OMG her rap dance is just fireeeeee️ 
Jennie=AURA"
@TahiaIslamTakia,The dance is just fire
@KRu-k2o,Jennie and all the dancers are on fire! I’m totally obsessed like Jennie.
@m.shafaa,"bruhh the producer and director did such an amazing job, the transition is so smooth!"
@ANIME_LOVER-ofc,"""_Haters they don't really like Jennie Cause they can never ever be Jennie_"" HITS HARD"
@SKY-k3w8h,The dance moves are AMAZING
@AbigailSarpey,This is my favorite song now
@Aashikathapa05,"JENNIE THE QUEEN YOU ARE!!
Look at her expression and stage presence always a top tier ahhh can't stop listening to Like Jennie!!<3"
@allernow,The official anthem of The IT GIRL and VILLAIN of kpop. ️
@IStan11Groups,"Why is no-one talking about that line 'I've slayed it, and I graved it'
Slayed it you did, Jennie!"
@musunuriramasharma2679,"Jennie I really love this song   , the way you rap,sing and everything is wonderful!"
@郑成杰-o2o,I think JENNIE is already a complete artist
@twinsSisters646,0:41 this is just been bomb
